section,metric,value,period,geography,publisher,published,source_url,notes
Losses by scam type (2025),"Romance fraud (APP, bank-reported)","£39.2 million, up 23% vs 2024; case numbers up 22% — record high",Calendar year 2025,UK,UK Finance — Annual Fraud Report 2026,2026-06-15,https://www.ukfinance.org.uk/news-and-insight/press-release/fraud-report-2026-press-release,Bank-transfer losses only; total romance fraud harm is higher (crypto payments etc. not captured) — see the police-reported £102m entry below and quote the two together with the measurement difference explained.
Losses by scam type (2025),"Romance fraud (police-reported, Report Fraud)","£102 million lost in 2025; 10,784 reports, up 29% on 2024; average loss £9,500 per victim (~£280,000 lost every day); largest single reported loss £1 million; people aged 55–74 accounted for nearly half of total losses; men filed more reports but women lost more money (just over 40% of reported value)",Calendar year 2025,"England, Wales and Northern Ireland (Report Fraud reporting area)",City of London Police — Report Fraud (reportfraud.police.uk) data,2026-05-05,https://www.cityoflondon.police.uk/news/city-of-london/news/2026/may/romance-fraud-costs-uk-victims-102-million-in-a-year-as-reports-surge-by-nearly-a-third/,"CoLP site blocks scripted fetches; figures corroborated 2026-07-25 via The Register (fetched in full), FStech and Leicestershire Police force release. Higher than UK Finance's £39.2m because Report Fraud captures losses across all payment types (including crypto and cash), not just bank transfers reported by UK Finance members."
Losses by scam type (2025),Impersonation fraud (APP),Losses down 12% and cases down 11% vs 2024 (second consecutive fall),Calendar year 2025,UK,UK Finance — Annual Fraud Report 2026,2026-06-15,https://www.ukfinance.org.uk/news-and-insight/press-release/fraud-report-2026-press-release,Bank/police 'safe account' impersonation. Absolute £ figure not in the press release — it is in the full report PDF (site blocks scripted access; pull the number from the PDF manually if needed for the page). UK Finance credits education campaigns for the fall.
Losses by scam type (2025),Courier fraud,"More than £21 million stolen; 1,891 reports (up c.10% from 1,721 in 2024; losses up from £19.5m); average loss per victim £15,311.08; victims aged 76–96 account for c.62% of all reports; London and the Home Counties c.65% of victims",Calendar year 2025,"England, Wales and Northern Ireland (Report Fraud reporting area)",City of London Police (national lead force for fraud),2026-06-15,https://www.cityoflondon.police.uk/news/city-of-london/news/2026/june/over-70s-targeted-as-courier-fraud-exceeds-21-million-in-2025-with-london-and-home-counties-hit-hardest/,"2025 trend: victims persuaded to buy jewellery and gold for courier collection — the highest-loss variant. Based on Report Fraud reports, so a substantial undercount. URL existence re-confirmed via search index 2026-07-25 (site 403s scripted fetches); Derbyshire Police ran the same campaign June 2026."
Where scams start,Where APP fraud starts (channel origination),66% of APP cases originate online (32% of losses); 17% via telecommunications (28% of losses); 1% via email (7% of losses),Calendar year 2025,UK,UK Finance — Annual Fraud Report 2026,2026-06-15,https://www.ukfinance.org.uk/news-and-insight/press-release/fraud-report-2026-press-release,"Telecoms-originated scams are higher-value per case (17% of cases but 28% of losses). Remainder: other 5%/8%, unknown 11%/24%. The 66%/17% pair independently corroborated by Neopay and Comms Council UK on 2026-07-25."
Where scams start,"How fraudsters contact victims (all fraud, survey measure)","79% of CSEW fraud incidents involved no offender–victim contact; where there was contact: telephone 39%, online/social media 32%, email 13%, in person 9%, text 4%. 71% of fraud incidents involved a loss; of those, 70% lost under £250 and 11% lost £1,000+",Year ending March 2025,England and Wales,Office for National Statistics — Nature of fraud and computer misuse in England and Wales,2026-03-26,https://www.ons.gov.uk/peoplepopulationandcommunity/crimeandjustice/articles/natureoffraudandcomputermisuseinenglandandwales/yearendingmarch2025,Also found women had higher odds of fraud victimisation than men; Asian/Asian British adults lower odds than White adults. No age breakdown in this edition.
Where scams start,Scam texts/messages prevalence (Ofcom),"40% of UK mobile users received at least one suspicious message on their mobile in the previous three months (survey fielded February 2026); mobile operators are blocking at least 600 million suspected scam messages a year (average c.50 million/month, January–March 2025); UK mobile users reported an estimated 100 million suspicious messages via the free 7726 service in the year to April 2025",Survey February 2026; blocking and 7726 data to Q1/April 2025,UK,Ofcom — statement 'Combatting mobile messaging scams',2026-07-15,https://www.ofcom.org.uk/siteassets/resources/documents/consultations/category-3-4-weeks/consultation-combatting-mobile-messaging-scams/main-document/statement-combatting-mobile-messaging-scams.pdf?v=422471,"All figures read directly from the 195-page statement PDF on 2026-07-25 (accessible summary: https://www.ofcom.org.uk/phones-and-broadband/scam-calls-and-messages/new-rules-to-thwart-text-message-scammers-and-protect-consumers-and-businesses). New rules require operators to block scam messages in transit, set PAYG SIM volume limits and run KYC on business (A2P) senders. 7726 reporting surged after one-click reporting arrived on iOS (10m+ reports/month December 2024 – March 2025). CAUTION: the widely circulated '45 million people / 82% targeted' figure is from Ofcom's OCTOBER 2021 research — do not present it as current."
Where scams start,Suspicious calls prevalence and four-year trend (Ofcom),"32% of mobile users received at least one suspicious call on their mobile in the previous three months, down from 40% in 2022; 39% of landline users received one on their landline, down from 53% in 2022",Survey fielded February 2026 (trend vs 2022),UK,Ofcom — statement 'Combatting mobile messaging scams' (consumer research section),2026-07-15,https://www.ofcom.org.uk/siteassets/resources/documents/consultations/category-3-4-weeks/consultation-combatting-mobile-messaging-scams/main-document/statement-combatting-mobile-messaging-scams.pdf?v=422471,"Exact quote read from the PDF on 2026-07-25: prevalence 'has fallen over the last four years, although it remains high'. Ofcom simultaneously finalised measures against foreign scam calls spoofing UK mobile numbers. Statement also references the Government's Fraud Strategy 2026–2029."
Identity fraud and account takeover,Identity fraud and National Fraud Database filings (Cifas),"Record 444,993 cases filed to the National Fraud Database in 2025 (up 6% on 2024; over 1,200 a day). Identity fraud: 242,000+ cases (54% of filings, down 3%). Facility/account takeover: 78,000+ cases (18% of filings, up 6%); unauthorised SIM swaps up 38%. Misuse of facility: 106,000+ cases (up 43%), incl. 22,000+ money-muling cases. 72% of all cases linked to identity fraud or facility takeover. Cifas members prevented £2.4 billion of fraud losses",Calendar year 2025,UK,Cifas — Fraudscape 2026,2026-03-12,https://www.cifas.org.uk/newsroom/fraudscape2026,"Re-verified by direct fetch 2026-07-25. NFD cases are organisation-confirmed fraud risk filings, not consumer reports. Cifas reads the identity-fraud dip as displacement into account takeover, not reduced harm. Also: c.90% of takeovers hit mobile phone products, online retail and personal credit cards; identity fraud against bank accounts up 10% (63,000+), insurance up 26% (16,000+). Full report: https://www.fraudscape.co.uk/"
Who gets scammed,People deceived by scams (Citizens Advice),"More than 7 million UK adults deceived by a scam in the past 12 months; top types among victims: online shopping scam 26%, investment scam 18%, other financial scam 18%, friend/family 'needs help' scam 16%, mobile network scam 14%; 20% of victims significantly affected financially, 12% fell into debt or borrowed, 10% used emergency savings","12 months to September 2025 (Savanta survey of 2,222 UK adults, 5–7 September 2025)",UK,Citizens Advice — Scams Awareness campaign press release,2025-10-20,https://www.citizensadvice.org.uk/about-us/media-centre/press-releases/millions-stung-by-scams-with-online-shopping-the-top-trap-says-citizens/,Re-verified by direct fetch 2026-07-25. 2025 Scams Awareness campaign ran 20 October – 2 November 2025; the 2026 consumer campaign (#ShopAware) runs 8–21 June 2026.
Who gets scammed,FCA impersonation scams,"4,465 reports of scammers impersonating the FCA in H1 2025, with 480 victims sending money (full-year 2024: 10,379 reports, 991 victims). Nearly two-thirds of reports came from people aged 56+",January–June 2025,UK,Financial Conduct Authority,2025-08-27 (updated 2025-12-05),https://www.fca.org.uk/news/press-releases/fake-fca-scams-reported-6-months-2025,"Re-verified by direct fetch 2026-07-25. Common variants: fake crypto-wallet fund recovery, recovery-scam follow-ups on earlier victims, fake CCJ payment demands — including 'pig butchering' second-wave fraud."
Who gets scammed,Adults experiencing investment/pension/crypto fraud (FCA survey measure),"1.5% of UK adults — around 800,000 people — experienced a pensions-related and/or investments-related (including cryptocurrency) fraud or scam in the 12 months to May 2024 (survey of 17,950 adults)",12 months to May 2024,UK,Financial Conduct Authority,May 2025 — Financial Lives 2024 survey,https://www.fca.org.uk/financial-lives/financial-lives-2024,"DATED (period pre-2025) — flag on page as the most recent available; Financial Lives runs roughly every two years and the FCA says the 2024 fraud question is not comparable with earlier waves. Related context: 8% of UK adults own cryptoassets (FCA Cryptoasset Consumer Research Wave 6, December 2025 — confirm exact figure/URL on fca.org.uk before citing)."
Enforcement and prevention,Fraud prevented by the banking industry,"£1.68 billion of unauthorised fraud prevented (equivalent to c.70p in every £1 of attempted fraud, per UK Finance launch coverage)",Calendar year 2025,UK,UK Finance — Annual Fraud Report 2026,2026-06-15,https://www.ukfinance.org.uk/news-and-insight/press-release/fraud-report-2026-press-release,Press release states the £1.68bn prevented figure for unauthorised fraud.
Enforcement and prevention,FCA action against investment/crypto scams,"2,329 FCA warnings about unauthorised or potentially scam firms in 2025 (vs 2,240 in 2024); Firm Checker used 1.9+ million times since its January 2025 launch; warning messages protected an average 694 consumers a week after the early-2026 campaign (up 49%); 17 criminal convictions secured",Calendar year 2025 / to mid-2026,UK,"Financial Conduct Authority — press release, first year of new strategy",2026-07-09,https://www.fca.org.uk/news/press-releases/fca-cracks-down-illegal-promotions-and-market-abuse-first-year-new-strategy,Re-verified by direct fetch 2026-07-25. Note site canon: 'FCA Firm Checker' (ScamSmart branding retired). The FCA publishes no aggregate £ figure for consumer crypto scam losses — see gaps.
